,source_id,nombre,inicial,apellidos,especialidad,telefono #1,telefono #2,direccion,pueblo,estado,actualizacion
2357,001,LABORATORIO CLINICO FLORES MOROVIS,,nan,LABORATORIO CLINICO,787-862-4230,,CALLE COMERCIO 14,MOROVIS,PUERTO RICO,01/28/2024
2361,001,LABORATORIO CLINICO LOS ROBLES INC,,nan,LABORATORIO CLINICO,787-758-8235,,334 CALLE 32 VILLA NEVAREZ,SAN JUAN,PUERTO RICO,01/28/2024
2369,001,LABORATORIO CLINICO SAN MARTIN,,nan,LABORATORIO CLINICO,787-897-2479,,#71 CALLE DR PEDRO ALBIZU CAMPOS,LARES,PUERTO RICO,01/28/2024
2371,001,LABORATORIO CLINICO DEL ATLANTICO,,nan,LABORATORIO CLINICO,787-878-9833,787-306-7032,AVENIDA MIRAMAR 860SUITE 1,ARECIBO,PUERTO RICO,01/28/2024
2375,001,LABORATORIO CLINICO NANCY MARIA,,nan,LABORATORIO CLINICO,787-862-1163,,3 CALLE PATRON,MOROVIS,PUERTO RICO,01/28/2024
2379,001,LABORATORIO CLINICO LLANADAS,,nan,LABORATORIO CLINICO,787-846-6323,,700 CARR 140 KM 67 0 SUITE 3,BARCELONETA,PUERTO RICO,01/28/2024
2406,001,LABORATORIO CLINICO CORCOVADO,,nan,LABORATORIO CLINICO,787-820-7402,,CARR 493BO CORCOVADO KM 3 1,HATILLO,PUERTO RICO,01/28/2024
2407,001,LABORATORIO CLINICO CAMPO ALEGRE,,nan,LABORATORIO CLINICO,787-820-5371,787-201-9229,BO CAMPO ALEGRE CARR 130 KM 11 4,HATILLO,PUERTO RICO,01/28/2024
2408,001,LABORATORIO CLINICO SAN RAFAEL,,nan,LABORATORIO CLINICO,787-895-2333,787-895-3702,SAN CARLOS 109,QUEBRADILLAS,PUERTO RICO,01/28/2024
2409,001,LABORATORIO CLINICO HATILLANO,,nan,LABORATORIO CLINICO,787-262-9494,787-920-4218,142 AVENIDA PABLO J AGUILAR SUITE #10,HATILLO,PUERTO RICO,01/28/2024
2410,001,LABORATORIO CLINICO FIGUEROA PSC,,nan,LABORATORIO CLINICO,787-858-4848,,CARR 155 KM 58 5 BO PUGNADO ADENTRO,VEGA BAJA,PUERTO RICO,01/28/2024
2412,001,LABORATORIO CLINICO MOROVIS,,nan,LABORATORIO CLINICO,787-862-0500,787-862-0300,CALLE DEL CARMEN #20,MOROVIS,PUERTO RICO,01/28/2024
2413,001,LABORATORIO CLINICO SAGRADO CORAZON INC,,nan,LABORATORIO CLINICO,787-761-5193,,370 AVE SAN CLAUDIO,SAN JUAN,PUERTO RICO,01/28/2024
2414,001,LABORATORIO CLINICO PLAZA DEL NORTE,,nan,LABORATORIO CLINICO,787-878-1359,,517 CALLE LA MILITAR,HATILLO,PUERTO RICO,01/28/2024
2416,001,LABORATORIO CLINICO PLAZA DEL MAR,,nan,LABORATORIO CLINICO,787-883-8150,,NORTH COAST SHOPPING VILLAGECARR 693 KM 12 9 SECTOR BRENAS BO SABANAS,VEGA ALTA,PUERTO RICO,01/28/2024
2420,001,LABORATORIO CLINICO LUIS MUNOZ RIVERA,,nan,LABORATORIO CLINICO,787-883-5620,,CALLE LUIS MUNOZ RIVERA 21,VEGA ALTA,PUERTO RICO,01/28/2024
2438,001,LABORATORIO CLINICO SAN VICENTE,,nan,LABORATORIO CLINICO,787-807-2974,,CALLE TULIO OTERO #15,VEGA BAJA,PUERTO RICO,01/28/2024
2440,001,LABORATORIO CLINICO DIAZ GARCIA,,nan,LABORATORIO CLINICO,787-880-4734,,CALLE JUAN COLON PADILLA 50,ARECIBO,PUERTO RICO,01/28/2024
2451,001,LABORATORIO CLINICO BACTERIOLOGICO LARES INC,,nan,LABORATORIO CLINICO,787-897-2625,,2 CALLE SAN JOSE STE 2,LARES,PUERTO RICO,01/28/2024
2454,001,LABORATORIO CLINICO VEGA ALTA,,nan,LABORATORIO CLINICO,787-883-3765,,CALLE COLON #54,VEGA ALTA,PUERTO RICO,01/28/2024
2472,001,LABORATORIO CLINICO SAN JOSE,,nan,LABORATORIO CLINICO,787-820-4722,,CARR #2 KM 92 9 MARGINAL,CAMUY,PUERTO RICO,01/28/2024
2479,001,LABORATORIO CLINICO TIERRAS NUEVAS,,nan,LABORATORIO CLINICO,787-884-4676,,CARRETERA 685 KM 2 7 BARRIO TIERRAS NUEVAS,MANATI,PUERTO RICO,01/28/2024
2482,001,LABORATORIO CLINICO DEL ROSARIO INC,,nan,LABORATORIO CLINICO,787-880-3690,787-969-4310,CARRETERA #2 KM 67 9 SANTANA,ARECIBO,PUERTO RICO,01/28/2024
2483,001,LABORATORIO CLINICO SHADDAI,,nan,LABORATORIO CLINICO,787-895-6173,787-505-8803,CARR 2 BO COCOS KM 99 0,QUEBRADILLAS,PUERTO RICO,01/28/2024
2495,001,LABORATORIO CLINICO AMADOR,,nan,LABORATORIO CLINICO,787-897-2439,,CALLE MUNOZ RIVERA 7,LARES,PUERTO RICO,01/28/2024
2497,001,LABORATORIO CLINICO ESCENICO,,nan,LABORATORIO CLINICO,787-816-2600,,CARR 10 KM 59 3 BO HATO VIEJO,ARECIBO,PUERTO RICO,01/28/2024
2509,001,LABORATORIO CLINICO 4 CALLES / BM LABORATORY INC,,nan,LABORATORIO CLINICO,787-872-8888,,CARR PR 4477 BO ARENALES BAJOS KM 1 1,ISABELA,PUERTO RICO,01/28/2024
2531,001,LABORATORIO CLINICO LAS MERCEDES INC,,nan,LABORATORIO CLINICO,787-895-6216,,CARRETERA #2 KM 96 8,QUEBRADILLAS,PUERTO RICO,01/28/2024
2533,001,LABORATORIO CLINICO ARECIBO,,nan,LABORATORIO CLINICO,787-881-0436,787-405-4071,CARRETERA #2 KM 63 1 BARRIO CANDELARIA,ARECIBO,PUERTO RICO,01/28/2024
2542,001,LABORATORIO CLINICO  LOMAR,,nan,LABORATORIO CLINICO,787-871-1205,,16 A CALLE PALMER,CIALES,PUERTO RICO,01/28/2024
2560,001,LABORATORIO CLINICO REX INC,,nan,LABORATORIO CLINICO,787-797-3365,,URBANIZACION REXVILLECALLE EL PARDO A5,BAYAMON,PUERTO RICO,01/28/2024
2578,001,LABORATORIO CLINICO CAMUY DVW CLINICAL LABORATORIES SERVICES,,nan,LABORATORIO CLINICO,787-898-5645,,CALLE INFANZON #4,CAMUY,PUERTO RICO,01/28/2024
2595,001,LABORATORIO CLINICO PUNTA LAS MARIAS,,nan,LABORATORIO CLINICO,787-727-6429,,CALLE LOIZA 2426 PUNTA LAS MARIAS,SAN JUAN,PUERTO RICO,01/28/2024
2602,001,LABORATORIO CLINICO Y MOLECULAR SOUTHERN PATHOLOGY,,nan,LABORATORIO CLINICO,787-841-0042,787-841-8645,PARQUE INDUSTRIAL SABANETA 234 A,PONCE,PUERTO RICO,01/28/2024
2606,001,LABORATORIO CLINICO PLAZA CENTRO,,nan,LABORATORIO CLINICO,787-258-9052,,233 AVE RAFAEL CORDERO PLAZA TURABO SUITE 6,CAGUAS,PUERTO RICO,01/28/2024
2610,001,LABORATORIO CLINICO Y BACTERIOLOGICO AMERICA,,nan,LABORATORIO CLINICO,787-754-8818,,124 MARGINAL AVE ROOSEVELT,SAN JUAN,PUERTO RICO,01/28/2024
2621,001,LABORATORIO CLINICO TOLEDO,,nan,LABORATORIO CLINICO,787-817-0101,,CARRETERA #2 KM 48 6 AVENIDA MIRAMAR 1079,ARECIBO,PUERTO RICO,01/28/2024
2622,001,LABORATORIO CLINICO TOLEDO,,nan,LABORATORIO CLINICO,787-680-7101,787-680-7203,51 CALLE PALMA,ARECIBO,PUERTO RICO,01/28/2024
2628,001,LABORATORIO CLINICO SINAI,,nan,LABORATORIO CLINICO,787-898-0881,939-242-2310,PLAZA PALOMAR CARR 119 KM 9 2 BO CAMUY ARRIBA,CAMUY,PUERTO RICO,01/28/2024
2643,001,LABORATORIO CLINICO AVANZADO EMMANUEL INC,,nan,LABORATORIO CLINICO,787-705-5858,787-854-5858,200 MONACO SHOPPING CENTER SUITE 2,MANATI,PUERTO RICO,01/28/2024
2644,001,LABORATORIO CLINICO AVANZADO EMMANUEL INC,,nan,LABORATORIO CLINICO,787-705-5858,787-871-4255,CALLE PALMER 51,CIALES,PUERTO RICO,01/28/2024
2645,001,LABORATORIO CLINICO AVANZADO EMMANUEL INC,,nan,LABORATORIO CLINICO,787-705-5858,787-870-2467,58 CALLE PALMER,TOA ALTA,PUERTO RICO,01/28/2024
2646,001,LABORATORIO CLINICO AVANZADO EMMANUEL INC,,nan,LABORATORIO CLINICO,787-705-5858,787-796-2282,MAHI MAHI SHOPPING VILLAGECARR PR 693 BO HIGUILLAR LOCAL 1B,DORADO,PUERTO RICO,01/28/2024
2660,001,LABORATORIO CLINICO TORRES,,nan,LABORATORIO CLINICO,787-897-0263,787-630-8976,CARR 129 KM 24 6BO PILETAS,LARES,PUERTO RICO,01/28/2024
2662,001,LABORATORIO CLINICO FERNANDEZ I,,nan,LABORATORIO CLINICO,787-897-9988,787-630-8976,LAB FERNANDEZ 1CARRETERA 129 KM 24 6 BARRIO PILETAS,LARES,PUERTO RICO,01/28/2024
2670,001,LABORATORIO CLINICO METABOLICO,,nan,LABORATORIO CLINICO,787-723-2807,,CALLE HIPODROMO #757 PDA 20,SAN JUAN,PUERTO RICO,01/28/2024
2679,001,LABORATORIO CLINICO Y BACTERIOLOGICO DEL NORTE,,nan,LABORATORIO CLINICO,787-880-5555,,CARR #493 KM 0 5 BO CARRIZALES,HATILLO,PUERTO RICO,01/28/2024
2717,001,LABORATORIO CLINICO MARBELLA INC,,nan,LABORATORIO CLINICO,787-855-6363,787-970-5104,CARR 687 KM 0 7 INTERSECCION BARRIO ALGARROBOSECTOR TORTUGUERO #5 URB CIUDAD REAL,VEGA BAJA,PUERTO RICO,01/28/2024
2740,001,LABORATORIO CLINICO LECHUGA,,nan,LABORATORIO CLINICO,787-820-3183,787-235-1787,CARR 492 KM 0 1 BO CAPAEZ SECTOR LECHUGA,HATILLO,PUERTO RICO,01/28/2024
2745,001,LABORATORIO CLINICO LING,,nan,LABORATORIO CLINICO,787-880-3134,787-880-0766,URB SAN LORENZO 40CALLE PEDRO MORA ACOSTA SUITE 3,ARECIBO,PUERTO RICO,01/28/2024
2749,001,LABORATORIO CLINICO SOFIA,,nan,LABORATORIO CLINICO,787-895-2475,,CALLE SAN JUSTO 206,QUEBRADILLAS,PUERTO RICO,01/28/2024
2757,001,LABORATORIO SAN RAFAEL 2000,,nan,LABORATORIO CLINICO,787-872-4330,,CALLE EMILIO GONZALEZ 113,ISABELA,PUERTO RICO,01/28/2024
2766,001,LABORATORIO CLINICO MANATI,,nan,LABORATORIO CLINICO,787-884-5886,787-432-1376,CALLE MARGINAL B6 URB SAN SALVADOR,MANATI,PUERTO RICO,01/28/2024
2767,001,LABORATORIO CLINICO MANATI,,nan,LABORATORIO CLINICO,787-881-2700,787-879-0358,BARRIO DOMINGO RUIZ CARR #2 INT #638,ARECIBO,PUERTO RICO,01/28/2024
2803,001,LABORATORIO CLINICO NOY & REFERENCE,,nan,LABORATORIO CLINICO,787-281-0370,,239 ARTERIAL HOSTOS SUITE 107,SAN JUAN,PUERTO RICO,01/28/2024
2809,001,LABORATORIO CLINICO ESPINOSA INC,,nan,LABORATORIO CLINICO,787-883-5077,,CARR #2 KM 27 5 BO ESPINOSA,DORADO,PUERTO RICO,01/28/2024
2810,001,LABORATORIO CLINICO FERNANDEZ II,,nan,LABORATORIO CLINICO,787-897-8365,787-630-8976,CARR 129 KM 15 4 BO MIJAN,LARES,PUERTO RICO,01/28/2024
2820,001,LABORATORIO VASCULAR CLINICO INC,,nan,LABORATORIO CLINICO,787-758-7500,,716 AVE PONCE DE LEON,SAN JUAN,PUERTO RICO,01/28/2024
2824,001,LABORATORIO CLINICO AMELIA,,nan,LABORATORIO CLINICO,787-757-1305,,CALLE EIDER 969 COUNTRY CLUB,SAN JUAN,PUERTO RICO,01/28/2024
2834,001,LABORATORIO CLINICO BARBOSA,,nan,LABORATORIO CLINICO,787-767-2145,787-751-6566,315 AVENIDA BARBOSA,SAN JUAN,PUERTO RICO,01/28/2024
2842,001,LABORATORIO CLINICO EL MONTE,,nan,LABORATORIO CLINICO,787-764-0445,,650 AVE MUNOZ RIVERA OFICINA 103,SAN JUAN,PUERTO RICO,01/28/2024
2853,001,LABORATORIO CLINICO DOMENECH,,nan,LABORATORIO CLINICO,787-765-0807,,284 AVENIDA DOMENECH URBANIZACION LOS INGENIEROS,SAN JUAN,PUERTO RICO,01/28/2024
2855,001,LABORATORIO CLINICO EL SENORIAL INC,,nan,LABORATORIO CLINICO,787-751-7028,787-758-0612,WISTON CHURCHILL AVE 180,SAN JUAN,PUERTO RICO,01/28/2024
2861,001,LABORATORIO CLINICO ACROPOLIS INC,,nan,LABORATORIO CLINICO,787-921-5002,,URB VILLA BEATRIZ D 6,MANATI,PUERTO RICO,01/28/2024
2888,001,LABORATORIO CLINICO BARRETO ROMERO,,nan,LABORATORIO CLINICO,787-898-2600,,122 FRANKLIN D ROOSEVELT,HATILLO,PUERTO RICO,01/28/2024
2889,001,LABORATORIO CLINICO LOPEZ LLC,,nan,LABORATORIO CLINICO,787-898-6032,,MUNOZ RIVERA #111,CAMUY,PUERTO RICO,01/28/2024
2910,001,LABORATORIO CLINICO M LANDRON,,nan,LABORATORIO CLINICO,787-966-7108,787-966-7109,CALLE JJ ACOSTA #46,VEGA BAJA,PUERTO RICO,01/28/2024
2911,001,LABORATORIO CLINICO M LANDRON,,nan,LABORATORIO CLINICO,787-395-7767,787-395-7768,CALLE LAS MARIAS 238URB HYDE PARK,SAN JUAN,PUERTO RICO,01/28/2024
2912,001,LABORATORIO CLINICO RODRIGUEZ,,nan,LABORATORIO CLINICO,787-898-4020,787-898-6161,CALLE PH HERNANDEZ #71,HATILLO,PUERTO RICO,01/28/2024
2922,001,LABORATORIO CLINICO Y BACTERIOLOGICO SANTIAGO INC,,nan,LABORATORIO CLINICO,787-854-7482,,CALLE DR CUETO 83,UTUADO,PUERTO RICO,01/28/2024
2928,001,LABORATORIO CLINICO L & S,,nan,LABORATORIO CLINICO,787-878-0948,,CARR 681 BO ISLOTESECTOR PIQUINA KM 4 4,ARECIBO,PUERTO RICO,01/28/2024
2929,001,LABORATORIO CLINICO CANDELARIA,,nan,LABORATORIO CLINICO,787-780-7744,,CARRETERA 863 KM 0 6 BO PAJAROS,TOA BAJA,PUERTO RICO,01/28/2024
2952,001,LABORATORIO CLINICO DEL MAR,,nan,LABORATORIO CLINICO,787-858-8362,,AVE FELISA RINCON BLOQUE 6 QURB SAN DEMETRIO,VEGA BAJA,PUERTO RICO,01/28/2024
2953,001,LABORATORIO CLINICO DEL MAR,,nan,LABORATORIO CLINICO,787-807-3423,,CARRETERA #2 KM 42 3,VEGA BAJA,PUERTO RICO,01/28/2024
2959,001,LABORATORIO CLINICO MALDONADO AVILES,,nan,LABORATORIO CLINICO,787-898-2106,,CARR 2 KM 86 1PISO 4,HATILLO,PUERTO RICO,01/28/2024
2970,001,LABORATORIO CLINICO BACTERIOLOGICO SABANA SECA INC,,nan,LABORATORIO CLINICO,787-795-1080,,AVE RAMON RIOS ROMAN ESQ AVE 866 PARADA 59 B,TOA BAJA,PUERTO RICO,01/28/2024
2981,001,LABORATORIO CLINICO GRISELLE INC,,nan,LABORATORIO CLINICO,787-854-3202,,URBANIZACION VILLA MARIA CALLE 1 D2,MANATI,PUERTO RICO,01/28/2024
2988,001,LABORATORIO CLINICO LECORD,,nan,LABORATORIO CLINICO,787-722-0341,,# 260 AVE CONSTITUCION,SAN JUAN,PUERTO RICO,01/28/2024
3008,001,LABORATORIO CLINICO CAGUANAS,,nan,LABORATORIO CLINICO,939-488-8000,,CARR 111 KM 51 HM 7 BO CAGUANA,UTUADO,PUERTO RICO,01/28/2024
3024,001,LABORATORIO CLINICO SHAREM,,nan,LABORATORIO CLINICO,787-745-1370,787-703-1275,PARQUE INDUSTRIAL AVE REGIMIENTO 295 ESQ AVENIDA LOS PARQUES LOCAL A 1 7,CAGUAS,PUERTO RICO,01/28/2024
3033,001,LABORATORIO CLINICO LADERAS,,nan,LABORATORIO CLINICO,787-744-0777,787-381-6940,CARR #1 KM 27 8 EDIFICIO PLAZA RIO CANAS LOCAL #3 RIO CANAS,CAGUAS,PUERTO RICO,01/28/2024
3035,001,LABORATORIO CLINICO ROLON,,nan,LABORATORIO CLINICO,787-879-1300,,CARR 635 KM 0 1 BO DOMINGUITO,ARECIBO,PUERTO RICO,01/28/2024
3036,001,LABORATORIO CLINICO ROLON,,nan,LABORATORIO CLINICO,787-879-0749,,CARR 490 KM 0 2 BO HATO ARRIBA,ARECIBO,PUERTO RICO,01/28/2024
3037,001,LABORATORIO CLINICO ROLON,,nan,LABORATORIO CLINICO,787-879-0749,,AVE SAN LUIS #933,ARECIBO,PUERTO RICO,01/28/2024
3038,001,LABORATORIO CLINICO ROLON,,nan,LABORATORIO CLINICO,787-879-0749,,CARR 651 KM 2 5 BO HATO ARRIBA,ARECIBO,PUERTO RICO,01/28/2024
3039,001,LABORATORIO CLINICO ROLON,,nan,LABORATORIO CLINICO,787-879-0749,,AVE CATALINA SANTIAGO 104,ARECIBO,PUERTO RICO,01/28/2024
3073,001,LABORATORIO CLINICO SAN JUAN INC,,nan,LABORATORIO CLINICO,787-756-7128,787-640-8254,PLAZA OLMEDOAVE LOMAS VERDES 1790 SUITE 3 4,SAN JUAN,PUERTO RICO,01/28/2024
3077,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-899-2309,,65 INFANTERIA ESQUINA CONCORDIA 13,LAJAS,PUERTO RICO,01/28/2024
3078,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-896-6535,,CALLE PROVIDENCIA BORRERO 1,SAN SEBASTIAN,PUERTO RICO,01/28/2024
3079,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-280-3609,,EDIFICIO SAN SEBASTIAN GALLERY LOCAL 201CARR 111 KM 17 HM 7 BO GUATEMALA,SAN SEBASTIAN,PUERTO RICO,01/28/2024
3080,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-892-4220,,AVE UNIVERSIDAD INTERAMERICANA 48ESQUINA CALLE VICTORIA 26,SAN GERMAN,PUERTO RICO,01/28/2024
3081,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-833-0470,,CALLE DE DIEGO 51 ESTE,MAYAGUEZ,PUERTO RICO,01/28/2024
3082,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-882-5050,,AVE VICTORIA URB GARCIA 534,AGUADILLA,PUERTO RICO,01/28/2024
3083,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-805-1080,,EDIFICIO MEDICAL EMPORIUM SUITE 108,MAYAGUEZ,PUERTO RICO,01/28/2024
3084,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-891-8899,,CARR 107 KM 3 7 AVE PEDRO ALBIZU CAMPOSSHOPPING COOPERATIVA CENTRAL,AGUADILLA,PUERTO RICO,01/28/2024
3085,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-812-1233,,EDIFICIO LEGACY OFFICE PARK LOCAL 103CARR PR 506 BO COTTO LAUREL,PONCE,PUERTO RICO,01/28/2024
3086,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-260-3853,,CALLE COMERCIO NUM 116,JUANA DIAZ,PUERTO RICO,01/28/2024
3087,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-851-8100,,BO PEDERNALES SUITE 101 102CARR PR 308 KM 3,CABO ROJO,PUERTO RICO,01/28/2024
3088,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-892-2642,,42 CALLE DR VEVE,SAN GERMAN,PUERTO RICO,01/28/2024
3089,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-892-0520,,222 AVE LOS ATLETICOS,SAN GERMAN,PUERTO RICO,01/28/2024
3090,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-806-1676,,CARR 108 KM 2 9 BO MIRADERO,MAYAGUEZ,PUERTO RICO,01/28/2024
3091,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-265-4961,,CALLE PERAL ESQUINA DE DIEGO EDIF LA PALMA,MAYAGUEZ,PUERTO RICO,01/28/2024
3092,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-438-9690,,AVE QUILINCHINI 40,SABANA GRANDE,PUERTO RICO,01/28/2024
3093,001,LABORATORIO CLINICO IRIZARRY GUASCH INC,,nan,LABORATORIO CLINICO,787-868-7095,,CALLE ESTACION 56,AGUADA,PUERTO RICO,01/28/2024
3113,001,LABORATORIO CLINICO CANTERA,,nan,LABORATORIO CLINICO,787-854-3920,,CARRETERA #2 KM 44 6 BO CANTERA,MANATI,PUERTO RICO,01/28/2024
3127,001,LABORATORIO CLINICO GENESIS,,nan,LABORATORIO CLINICO,787-897-1636,,CARR 111 KM 4 2 LARES,LARES,PUERTO RICO,01/28/2024
3133,001,LABORATORIO CLINICO  PROFESIONAL SAN MIGUEL,,nan,LABORATORIO CLINICO,787-765-6069,,112 ARZUAGA EDIF MEDINA CENTER OFIC 905,SAN JUAN,PUERTO RICO,01/28/2024
3236,001,LABORATORIO CLINICO HATO REY,,nan,LABORATORIO CLINICO,787-751-0874,,CALLE JOSE FERNANDEZ #5,SAN JUAN,PUERTO RICO,01/28/2024
3651,001,LABORATORIO GARCIA CORPORATION,,nan,LABORATORIO CLINICO,787-826-2360,,LABORATORIO GARCIA CORPCALLE 65 INFANTERIA NUMERO 67 SUITE B102,ANASCO,PUERTO RICO,01/28/2024
3654,001,LABORATORIO CLINICO PLAZA PALACIOS INC,,nan,LABORATORIO CLINICO,787-730-1515,,CENTRO COMERCIAL PLAZA PALACIOSLOCAL E2,TOA ALTA,PUERTO RICO,01/28/2024
3664,001,LABORATORIO CLINICO JEZER,,nan,LABORATORIO CLINICO,787-877-2010,,CARR 110 KM 10 6,MOCA,PUERTO RICO,01/28/2024
3675,001,LABORATORIO CLINICO ISLA VERDE / BRAIN BIOLOGY LAB,,nan,LABORATORIO CLINICO,787-791-9630,,ISLA VERDE MALLCARR187 INT CALLE DALIA SUITE 219,CAROLINA,PUERTO RICO,01/28/2024
3699,001,LABORATORIO CIMA MAUNABO INC,,nan,LABORATORIO CLINICO,787-861-5544,,CALLE LUIS MUNOZ RIVERA #57,MAUNABO,PUERTO RICO,01/28/2024
3762,001,LABORATORIO CIMA INC  YABUCOA,,nan,LABORATORIO CLINICO,787-893-5544,,CALLE SATURNINO RODRIGUEZ #7,YABUCOA,PUERTO RICO,01/28/2024
3763,001,LABORATORIO CIMA IV HUMACAO INC,,nan,LABORATORIO CLINICO,787-852-5544,,AVE PADRE RIVERA #23,HUMACAO,PUERTO RICO,01/28/2024
3777,001,LABORATORIO CLINICO SANTA CRUZ,,nan,LABORATORIO CLINICO,787-755-8751,787-946-8579,CARR 181 KM 58 7BO DOS BOCAS,TRUJILLO ALTO,PUERTO RICO,01/28/2024
3780,001,LABORATORIO CLINICO MINILLAS CORP,,nan,LABORATORIO CLINICO,787-269-5262,,AVE MINILLAS NM 14 SANTA JUANITA,BAYAMON,PUERTO RICO,01/28/2024
3862,001,LABORATORIO CLINICO CEMI,,nan,LABORATORIO CLINICO,787-828-4646,,47 CALLE LIBERTAD ST 3,JAYUYA,PUERTO RICO,01/28/2024
3876,001,LABORATORIO CLINICA DE CUIDADO MEDICO INC,,nan,LABORATORIO CLINICO,787-871-1098,787-871-0587,CALLE HOSPITAL #4,CIALES,PUERTO RICO,01/28/2024
3880,001,LABORATORIO CLINICO EL MORRO INC,,nan,LABORATORIO CLINICO,787-753-4736,,11 AVE SIMON MADERA,SAN JUAN,PUERTO RICO,01/28/2024
3881,001,LABORATORIO CLINICO EL MORRO INC,,nan,LABORATORIO CLINICO,787-763-8435,,CONCORDIA SHOPPING CENTER LOCAL #4 AVE 65TH INFANTERIA,SAN JUAN,PUERTO RICO,01/28/2024
3882,001,LABORATORIO CLINICO VAN SCOY,,nan,LABORATORIO CLINICO,787-799-0795,787-799-0796,BUENA VISTA PROFESSIONAL PLAZACARRETERA 167 RAMAL 829 CASA #1,BAYAMON,PUERTO RICO,01/28/2024
3883,001,LABORATORIO CLINICO VAN SCOY,,nan,LABORATORIO CLINICO,787-251-0138,787-294-5988,COVADONGA MEDICAL PLAZAAVE DON PELAYO AA 4 HACIENDA DEL NORTE,TOA BAJA,PUERTO RICO,01/28/2024
3935,001,LABORATORIO CLINICO ALMI INC,,nan,LABORATORIO CLINICO,787-793-4242,787-783-4545,AVENIDA SAN ALFONSO #1332 URBANIZACION ALTAMESA,SAN JUAN,PUERTO RICO,01/28/2024
3964,001,LABORATORIO CLINICO SUNRISE BAY,,nan,LABORATORIO CLINICO,787-232-3231,,5900 LOCAL #1 AVE ISLA VERDE,CAROLINA,PUERTO RICO,01/28/2024
3971,001,LABORATORIO CLINICO TRUJILLO ALTO,,nan,LABORATORIO CLINICO,787-760-5179,,CALLE LA CRUZ #307,TRUJILLO ALTO,PUERTO RICO,01/28/2024
